Dataset,attr_conc.mean,attr_conc.sd,attr_ent.mean,attr_ent.sd,attr_to_inst,best_node.mean,best_node.sd,can_cor.mean,can_cor.sd,cat_to_num,class_conc.mean,class_conc.sd,class_ent,cor.mean,cor.sd,cov.mean,cov.sd,eigenvalues.mean,eigenvalues.sd,elite_nn.mean,elite_nn.sd,eq_num_attr,freq_class.mean,freq_class.sd,g_mean.mean,g_mean.sd,gravity,h_mean.mean,h_mean.sd,inst_to_attr,iq_range.mean,iq_range.sd,joint_ent.mean,joint_ent.sd,kurtosis.mean,kurtosis.sd,leaves,leaves_branch.mean,leaves_branch.sd,leaves_corrob.mean,leaves_corrob.sd,leaves_homo.mean,leaves_homo.sd,leaves_per_class.mean,leaves_per_class.sd,lh_trace,linear_discr.mean,linear_discr.sd,mad.mean,mad.sd,max.mean,max.sd,mean.mean,mean.sd,median.mean,median.sd,min.mean,min.sd,mut_inf.mean,mut_inf.sd,naive_bayes.mean,naive_bayes.sd,nodes,nodes_per_attr,nodes_per_inst,nodes_per_level.mean,nodes_per_level.sd,nodes_repeated.mean,nodes_repeated.sd,nr_attr,nr_bin,nr_cat,nr_class,nr_cor_attr,nr_disc,nr_inst,nr_norm,nr_num,nr_outliers,ns_ratio,num_to_cat,one_nn.mean,one_nn.sd,p_trace,random_node.mean,random_node.sd,range.mean,range.sd,roy_root,sd.mean,sd.sd,sd_ratio,skewness.mean,skewness.sd,sparsity.mean,sparsity.sd,t_mean.mean,t_mean.sd,tree_depth.mean,tree_depth.sd,tree_imbalance.mean,tree_imbalance.sd,tree_shape.mean,tree_shape.sd,var.mean,var.sd,var_importance.mean,var_importance.sd,w_lambda,worst_node.mean,worst_node.sd,CNN_Accuracy,CNN_F1,DT_Accuracy,DT_F1
banana_1,0.0194601072302756,0.0094555276776613,3.459423167090097,4.796711693331816e-16,0.004375,0.64125,0.0369402670988358,0.7527721003754807,0.3740236123818682,0.0,0.012873918666676,0.0059036223802627,0.999998872894206,0.2043871607006256,0.1453932228400283,0.8968119600611706,0.6429424877697388,4.389221660434772,2.9351583837461743,0.575,0.0455483564772405,9.723176052783373,0.5,0.0008838834764831,10.345174064823947,19.126349674657778,3.4041045553233755,9.931845893284114,18.618028044010973,228.57142857142856,2.8580385242857145,0.2876124947780215,4.356575103194759,0.0488235717809379,-0.1351986407379652,0.2662163811669534,96,8.677083333333334,2.9181637761718244,0.0104166666666666,0.0288958922291611,19207.596137196146,32996.52089028292,0.5,0.0441941738241592,1.3076878792590398,0.87625,0.0305902580716294,2.110751400219,0.2260303154373426,6.638946514285714,1.1034556465674132,-0.3130288138901035,0.6018753380094947,-0.3223683457142857,0.7830355475633457,-7.032606842857143,0.9015077733594828,0.1028469367895426,0.0488235717809379,0.8825000000000001,0.0333072814861855,95,13.571428571428571,0.059375,6.785714285714286,4.060666323278852,13.571428571428571,3.3094381626464866,7,0,0,2,0.0476190476190476,1,1600,0.0,7,7,32.63661840672193,,0.964375,0.0150375686938488,0.5666658351037128,0.6625000000000001,0.0433012701892219,13.671553357142855,1.0054042362388385,1.3076878792590398,2.0924912197591556,0.1117400925207615,1.3234297128672443,0.0812999648786502,0.3312546821493242,0.0,0.0,-0.3370292728317202,0.7187015076744311,7.727748691099476,3.1671362890399175,0.0734299623560114,0.0815692592205265,0.0533243815104166,0.0713113227016343,4.389221660434772,0.4789773256817174,0.1428571428571428,0.0534017302842408,0.4333341648962872,0.571875,0.0901026613554412,0.975,0.975,0.921875,0.9218099666049692
banana_2,0.0218821056655547,0.0098867973197984,3.321928094887362,0.0,0.00546875,0.6609375,0.0227622639410543,0.7738532373686036,0.3740236123818682,0.0,0.0154760021136191,0.0065116812736833,0.9999841500208518,0.2071669986404957,0.1392990340747144,0.8762760437068681,0.599340180544913,4.238314977748052,2.83259531044103,0.59140625,0.0393306766625761,9.051150474423384,0.5,0.0033145630368119,10.345174064823947,19.126349674657778,3.4441811781534746,9.931845893284114,18.618028044010973,182.8571428571429,2.8740992739285716,0.2930826103073142,4.2114308035879535,0.0484061950186277,-0.215044587744599,0.2872930114468942,84,8.369047619047619,2.9688331321210706,0.0119047619047619,0.0330573505427306,19979.839005439007,57808.8097777217,0.5,0.0168358757425368,1.4928258527658034,0.88828125,0.0241640848117959,2.097649589889,0.2117040643295503,6.114897171428573,0.6971107931513293,-0.3123010739528916,0.6171712802317411,-0.3263472378571429,0.7921963737750802,-6.599682799999999,0.6491271103017575,0.1104814413202601,0.0484061950186277,0.9,0.0270131301664373,83,11.857142857142858,0.06484375,5.1875,3.850865703535592,11.857142857142858,3.38765264987284,7,0,0,2,0.0476190476190476,1,1280,0.0,7,7,29.067747625213013,,0.97265625,0.0185060812546248,0.5988488329858683,0.67421875,0.0301566547900293,12.714579971428572,0.5899999512728274,1.4928258527658034,2.0557064375931717,0.1202096372331088,1.3234297128672443,0.0656616599244691,0.3200521518472397,0.0,0.0,-0.3373193890937332,0.723148805665015,7.425149700598802,3.2084361420253833,0.0620505231025724,0.0855604234050209,0.0613646734328497,0.0725862191649661,4.238314977748051,0.5038391732883274,0.1428571428571428,0.0579492563783762,0.4011511670141316,0.53828125,0.027175823642072,0.9375,0.9374770614142404,0.88671875,0.886734326063708
banana_3,0.0242084577530926,0.0099820781283579,3.321911595228475,4.796711693331816e-16,0.0068359375,0.6329335617742243,0.0406740857344412,0.7517924257066377,0.3740236123818682,0.0,0.013341004363534,0.0058338570854586,0.9979930635696016,0.2188339535260644,0.1332399291446915,0.9399386918927506,0.5877718800596269,4.307812164068017,2.962149112638664,0.5722634684941937,0.0390379254456936,10.309978754851008,0.5,0.0372888341641343,10.345174064823947,19.126349674657778,3.2308188961488384,9.931845893284114,18.618028044010973,146.28571428571428,2.859435367142857,0.3435571863888418,4.2231059080635,0.0446992948588723,-0.140974329642781,0.4320139863043557,77,8.207792207792208,2.778383012973659,0.0129870129870129,0.0315656540683001,10335.494194694196,18527.57839986064,0.5,0.0275496148514239,1.2998649015767518,0.8769179516466782,0.035895895304953,2.095676269092299,0.2714804559541699,6.095434257142857,1.080921898160954,-0.2931273028798538,0.59326882439822,-0.3122677571428571,0.7663715674600765,-6.445442714285714,0.7612099289042553,0.0967987507345764,0.0446992948588723,0.884808680753855,0.029293387108732,76,10.857142857142858,0.07421875,5.428571428571429,3.390354774135812,10.857142857142858,4.099941927579439,7,0,0,2,0.0476190476190476,1,1024,0.0,7,6,33.3177114375908,,0.9619360365505424,0.0216913733840686,0.5651918513498704,0.6279554540262706,0.0400766489019672,12.540876971428572,1.1590531754055011,1.2998649015767518,2.0722417364123418,0.1260849248003588,1.3234297128672443,0.0824125081749973,0.3673176011446806,0.0,0.0,-0.3202935555688292,0.701174405381387,7.26797385620915,3.028388784633002,0.0728489183649053,0.0857902480561094,0.0636208274147727,0.0799761693038554,4.307812164068016,0.5355018835582611,0.1428571428571428,0.0670991513461223,0.4348081486501295,0.5273557966876071,0.0053295697515544,0.9560975609756096,0.9560787407154836,0.9121951219512195,0.9121867643576492
banana_4,0.0262058850954241,0.0118990431729052,3.1699250014423126,0.0,0.0085470085470085,0.6752785305630834,0.0410483825334006,0.7399121106546823,0.3740236123818682,0.0,0.0146094164177907,0.0064861534230909,0.9999989245831232,0.2120230818696247,0.1437132063370667,0.9130136266579854,0.6211741428333444,4.335905833327461,2.9292958931360213,0.5678109003312255,0.0523513552531453,10.842499579838089,0.5,0.000863378243207,10.345174064823947,19.126349674657778,3.2847316283065275,9.931845893284114,18.618028044010973,117.0,2.8933560064285717,0.2139541626509382,4.077694369803672,0.0434377888598217,-0.2133327351197382,0.2841216482446493,85,8.047058823529412,2.492397403691308,0.0117647058823529,0.030296163385507,7693.640492840492,12337.83880380839,0.5,0.0415945165403851,1.2097979108885737,0.8522734116230051,0.0364989568210212,2.1066791923602,0.1572748593463142,5.6058261428571425,0.7884307147429462,-0.3260102510165358,0.61657649636854,-0.3665314429999999,0.7871826911614634,-6.856010071428572,0.6660529889492469,0.0922295562217634,0.0434377888598217,0.8840108401084011,0.036900181196456,84,12.0,0.1025641025641025,6.461538461538462,3.733081493337299,12.0,2.886751345948129,7,0,0,2,0.0476190476190476,1,819,1.0,7,6,33.36994745827807,,0.9450617283950618,0.0245431561910741,0.5474699314934669,0.6289220114423365,0.0402972660942275,12.461836214285714,1.3012021414197794,1.2097979108885737,2.080218074337175,0.1001583543684615,1.3234297128672443,0.0614278463840036,0.315817303833207,0.0,0.0,-0.3586964479332947,0.7277452720044129,7.100591715976331,2.780983404374639,0.0835424242874159,0.1073519655376788,0.0624885110294117,0.0691872879899443,4.3359058333274625,0.4162152657817734,0.1428571428571428,0.0740350188292354,0.4525300685065331,0.5763023185787414,0.0395224186454213,0.9329268292682928,0.9329792945934824,0.8658536585365854,0.8657333119383825
banana_5,0.0277700214980293,0.0118835303897214,2.999988194311172,4.796711693331816e-16,0.0106870229007633,0.6994871794871795,0.0541817300209286,0.7481404333285349,0.3740236123818682,0.0,0.0173571473145783,0.0082567617369351,0.999392942167238,0.1987997907626558,0.143496412262393,0.8882281620646792,0.6492556387011337,4.466208478632555,2.9429299313864963,0.5905827505827504,0.0567545962084231,10.54525502147869,0.5,0.0205114944160983,10.345174064823947,19.126349674657778,3.385071060156819,9.931845893284114,18.618028044010973,93.57142857142856,2.9316416992857137,0.3798585385713842,3.90460932298204,0.0471625971197707,-0.1534424396476404,0.3447111890588319,58,6.931034482758621,2.0422044244077964,0.0172413793103448,0.0356536349847276,2120.1812409812414,2908.9068611342377,0.5,0.0243829924547085,1.2712515166324343,0.8611188811188812,0.0280925917684829,2.1605296892886,0.2892148154982527,5.6477254285714285,0.6558780263573954,-0.3551308501233653,0.6159544977515785,-0.3942497509999999,0.79461296003094,-6.8702039,0.8242129757309352,0.09477181349637,0.0471625971197707,0.8658508158508159,0.0417993560289579,57,8.142857142857142,0.0870229007633587,5.181818181818182,3.311138227805714,8.142857142857142,2.0354009783964297,7,0,0,2,0.0476190476190476,1,655,2.0,7,6,30.654856899262327,,0.9634032634032634,0.0239711980688512,0.559714107981008,0.6443356643356644,0.0406010676304914,12.517929328571428,0.9725275831287368,1.2712515166324343,2.1095927129365526,0.1358856437737731,1.3234297128672443,0.1047631022329464,0.3391758537012863,0.0,0.0,-0.395787543015496,0.7248923532650211,6.0,2.373094803704315,0.1023104723489988,0.1186969021184506,0.0877896012931034,0.0755654661954564,4.466208478632557,0.572688813075791,0.1428571428571428,0.061811521656226,0.440285892018992,0.5313053613053613,0.0368870101999427,0.9618320610687024,0.9618231563293772,0.8778625954198473,0.8778768305485862
diabetes_1,0.0569785437917042,0.0425562840274653,2.2207761757349047,0.2134000583957264,0.0522875816993464,0.7645833333333333,0.1162567202358642,0.6618691888877074,0.3740236123818682,0.0,0.0349983898819478,0.0237226868289265,0.9526092095121206,0.224200968217907,0.132061528709807,135.3551732024608,291.0901775414711,2121.4104419411237,5248.381009127314,0.7054166666666667,0.1183419728197236,8.333675085545309,0.5,0.1802429050083356,18.859067117092955,41.74414301163422,64.31706445909339,18.083454530744213,40.14409439144394,19.125,32.558375,42.47951174705115,3.0590769679241068,0.1991864059075164,1.941204795811475,2.1587737771904223,26,6.230769230769231,2.2504700363735983,0.0384615384615384,0.0533015066858688,631.352380952381,748.121483128083,0.5,0.054392829322042,0.7795836936118176,0.7845833333333333,0.1327540948195498,10.7014068,11.057687958208348,144.261625,194.48962214982615,45.47027287581699,42.44728807723216,34.167500000000004,40.08521485535533,9.63475,20.122406926111005,0.1143084173229183,0.0750155974511663,0.7462500000000001,0.1723280364899856,25,3.125,0.1633986928104575,2.5,1.1785113019775793,3.5714285714285716,0.9759000729485332,8,0,0,2,0.0357142857142857,1,153,0.0,8,6,18.427932148349747,,0.7,0.1308359872342298,0.4380708231988717,0.64125,0.0578168270819763,134.626875,194.53547985131695,0.7795836936118176,27.158796555857776,39.76804476789518,1.0593608265610026,0.5330746108173063,1.137918799863399,0.017129929974914,0.0191845683496585,39.89267741935484,39.00904957173101,5.372549019607843,2.4573219920370675,0.0996584639925969,0.1258875663581694,0.1322866586538461,0.134671681128929,2121.4104419411224,5171.583574783141,0.125,0.1004097352661074,0.5619291768011283,0.6279166666666666,0.0796416065497624,0.6129032258064516,0.6170388751033913,0.6129032258064516,0.6153225806451613
diabetes_2,0.0488599784836656,0.0497792623854126,1.96601577766617,0.0705185072282015,0.065040650406504,0.7147435897435898,0.1118176908936405,0.5259814652554166,0.3740236123818682,0.0,0.0300832050434773,0.0248552752010616,0.8390040613676978,0.1451237813189455,0.1639171548661682,114.71561982397516,340.4754466802953,1987.5563010203748,5047.99504091787,0.65,0.1290286938161082,13.011309893389427,0.5,0.327683630305961,7.787215895714106,14.305822173011402,63.54016656870211,7.514427055576688,13.8280862727819,15.375,29.7211875,41.73488877763124,2.740537164480558,0.07850910175536,1.717520560808622,2.2692311123795337,19,4.842105263157895,1.302269723501448,0.0526315789473684,0.0992169169043275,139.1047619047619,87.93327619985571,0.5,0.111648439134718,0.3824690516714527,0.7801282051282051,0.0670987803851113,18.398880674999997,23.58753605548921,122.9625,156.28534285996605,45.993530487804875,42.10922141511552,39.996375,37.544292957737646,5.023625,9.288421793324972,0.0644826745533103,0.0524842747789941,0.7974358974358974,0.0658729875828981,18,2.25,0.1463414634146341,2.5714285714285716,1.511857892036909,3.0,1.7888543819998317,8,0,0,2,0.0357142857142857,1,123,0.0,8,6,29.489054483011365,,0.7019230769230769,0.1376589193789979,0.276656501792235,0.7564102564102564,0.1330289095407981,117.938875,158.58465843241268,0.3824690516714527,25.603284941074044,39.0168915983328,1.067414699962208,0.4514433836635604,1.1197268073914393,0.0187096285872651,0.0224081727930802,41.120205,38.56197288631342,4.0,1.6666666666666667,0.142692347911069,0.0892445970100318,0.1916118421052631,0.1175736814247952,1987.5563010203753,4948.000537171912,0.125,0.1137389561839349,0.723343498207765,0.691025641025641,0.0852989740162369,0.44,0.4955882352941175,0.68,0.6982456140350877
diabetes_3,0.0580152935093416,0.0510545263721956,1.9677667514922477,0.0700779777901516,0.0816326530612244,0.5211111111111111,0.1034984741741567,0.5857691787149335,0.3740236123818682,0.0,0.0299511289831267,0.0194819793112089,0.9562940061600326,0.1664521010095709,0.1404615476906668,67.60692382931082,160.4875054539843,1182.485027626814,2735.903166814024,0.5344444444444445,0.1426238541970038,12.956928290011843,0.5,0.1731690076375218,19.543916364192185,43.35219551647588,40.50008826606947,18.881777829152988,42.02481529680104,12.25,31.547125,43.472229991233654,2.850255146881307,0.0821312758514603,1.390600218430715,2.6180948912343465,19,4.684210526315789,1.2495613265350085,0.0526315789473684,0.0746180641587901,130.17142857142858,91.27696424931057,0.5,0.0372161463782393,0.5223608874842219,0.7266666666666667,0.13107134781002,22.57888605,32.273464203491834,105.185125,114.20281319456876,46.091160714285714,42.895518325123014,44.929,41.51058366936592,8.136,16.245666569449046,0.0738056107709737,0.0445075157345834,0.7055555555555555,0.1340771434066515,18,2.25,0.1836734693877551,2.5714285714285716,1.511857892036909,2.25,1.3887301496588271,8,0,0,2,0.0714285714285714,1,98,1.0,8,5,25.661479133319908,,0.6666666666666667,0.1455324644769518,0.3431255307323677,0.6344444444444444,0.112637661545124,97.049125,111.0879284575158,0.5223608874842219,21.86345206170126,28.374525628709495,1.070132168475165,0.2190976954062176,1.165103794908234,0.0176818250766033,0.0200330106165927,43.250554166666674,41.16037160135423,3.8378378378378377,1.641704965940956,0.1575357781159939,0.1408283120819852,0.2047697368421052,0.1034670171308455,1182.4850276268146,2692.565612807939,0.125,0.0900731417705289,0.6568744692676324,0.5722222222222222,0.1522803349468428,0.6,0.5736263736263736,0.8,0.8
diabetes_4,0.0862854060335238,0.0550532880535368,1.9387174431855516,0.1430935820359142,0.1025641025641025,0.8214285714285714,0.1330992843749874,0.58642071142539,0.3740236123818682,0.0,0.0330326039319746,0.0381893638648128,0.8582307926411411,0.1776315607138996,0.1513452840520004,73.95525810617956,156.21018035775742,1177.738728002768,2804.411599904964,0.7303571428571428,0.1286182674823399,11.315195810201716,0.5,0.3082260328249053,22.24869182988769,39.67994139265708,30.77819894935703,21.608808885562865,38.59838016743106,9.75,28.53615625,37.68102948693563,2.7211006051681617,0.1708482774396155,1.9628793257851591,3.568121195810463,14,4.571428571428571,1.741541567969893,0.0714285714285714,0.0821243334992143,109.54285714285712,97.2002562591777,0.5,0.101015254455221,0.5241329321338256,0.7446428571428572,0.116353442505009,17.3939558625,20.922784087598785,121.986,161.7726453019793,43.16829326923077,39.42919684695154,39.449125,36.95233753069138,12.265375,20.306577885274375,0.0758476306585313,0.0922893553575573,0.7696428571428571,0.0983314596846747,13,1.625,0.1666666666666666,1.8571428571428572,0.8997354108424372,1.8571428571428572,0.6900655593423541,8,0,0,2,0.0357142857142857,1,78,2.0,8,5,24.56068563187853,,0.6928571428571428,0.1670488814634385,0.3438892507886605,0.7178571428571429,0.0510657394988743,109.720625,161.98497409234113,0.5241329321338256,21.215018788211086,28.83770757321777,1.1068506306721724,0.612999938165564,1.1390866943893494,0.0196206140180861,0.0202422698141248,39.88128125,37.74951084459014,3.7777777777777777,1.9676876967127863,0.162437700364994,0.1235645877522242,0.2321428571428571,0.1431211609927096,1177.738728002768,2762.739276161667,0.125,0.1421178461570831,0.6561107492113395,0.7178571428571429,0.0510657394988743,0.125,0.125,0.5625,0.5849999999999999
diabetes_5,0.0761742887680959,0.0640131712662542,1.5729258699508932,0.0254229813989043,0.1269841269841269,0.7404761904761905,0.225164758690856,0.6241490882576683,0.3740236123818682,0.0,0.0555893570666288,0.0380025306248335,0.8832225588099292,0.271299183944089,0.159557878310048,143.61505950369394,272.5119135995254,1807.9556164343317,4433.213729720247,0.6785714285714286,0.2251088032330609,9.815615706058214,0.5,0.2805979290422807,18.83168820494874,42.02926876564053,59.268440787502435,18.25596070856751,40.82619713509282,7.875,32.85875,45.36573484706586,2.36616705772316,0.0648965921420463,1.7021840686886862,2.1795239007629363,11,4.454545454545454,1.6348477827391985,0.0909090909090909,0.1371139940767387,70.80000000000001,39.89813696569469,0.5,0.0642824346533224,0.6381682303804306,0.7904761904761906,0.1345934407980957,20.751581549999997,25.2775889469002,123.6025,157.97404504266788,46.05451984126984,42.52719010719547,42.282250000000005,39.71115144479481,10.76275,23.11250775631485,0.0899813710376622,0.0712568564305789,0.7714285714285715,0.1634997686580075,10,1.25,0.1587301587301587,1.6666666666666667,0.5163977794943223,2.5,0.5773502691896257,8,0,0,2,0.0714285714285714,1,63,0.0,8,7,16.48057238750603,,0.8119047619047619,0.1226697640017781,0.3895620843728786,0.6976190476190476,0.052704627669473,112.83975,156.50570947298652,0.6381682303804306,25.559455041585885,36.32661164508908,1.1770688967513907,0.4795921122863405,1.2380256876930094,0.0188133016180633,0.0180651667907521,42.01840064102564,39.51649627488673,3.7142857142857144,1.7928429140015905,0.1596206819789216,0.1246028328559937,0.2215909090909091,0.1414590167118763,1807.9556164343317,4349.195060353983,0.125,0.1641577217382171,0.6104379156271214,0.6976190476190476,0.052704627669473,0.6923076923076923,0.6495726495726496,0.6923076923076923,0.6807692307692308
iris_1,0.4827117002667647,0.25469093667437,1.5766179565636458,0.0098802880563361,0.1333333333333333,0.6666666666666667,1.1702778228589004e-16,0.8159707119561366,0.2403514903145035,0.0,0.7142027936368951,0.3320103197402393,1.584962500721156,0.6254628734461718,0.3045656543376648,0.6722547892720306,0.601696469647525,1.2768821839080462,2.313591855231202,1.0,0.0,1.3834598587351354,0.3333333333333333,0.0,3.214847456255651,2.016358944652472,3.051458667588339,2.964910311034097,2.1415199768574933,7.5,1.775,1.2259350173099166,2.015929218679115,0.5011933534349121,-1.100994371548057,0.5582967987727432,3,1.6666666666666667,0.5773502691896257,0.3333333333333333,0.0,6.0,0.0,0.3333333333333333,0.0,35.49170830047977,1.0,0.0,1.2046125,0.6750173217221905,5.300000000000001,2.524546163834865,3.464166666666667,1.9163552887167328,3.5625,1.8953341833741792,1.975,1.95,1.1456512386056863,0.5105111883226807,1.0,0.0,2,0.5,0.0666666666666666,1.0,0.0,2.0,1.6805532522130033,4,0,0,3,0.5,2,30,2.0,4,0,0.3761761899567855,,0.9666666666666666,0.1054092553389459,1.3893852444368118,0.6666666666666667,1.1702778228589004e-16,3.325,1.837344097694641,34.77544925841984,0.997148627364266,0.613815171805114,1.4394789567583637,0.1699757560079536,0.3645177065057649,0.0232119287246328,0.0085898222510197,3.430555555555556,1.8727222104108916,1.2,0.8366600265340756,0.3535533905932737,0.0,0.5,0.0,1.2768821839080458,1.5291192869887904,0.25,0.5,0.016286661324402,0.6666666666666667,1.1702778228589004e-16,0.6666666666666666,0.5555555555555555,0.8333333333333334,0.8222222222222223
iris_2,0.2731481190740709,0.2412420414765186,1.0,0.0,0.1666666666666666,0.6853542031439954,0.08049487797256048,0.756678053169088,0.3305279331353948,0.0,0.5416666391666637,0.1767767059032412,1.584962500721156,0.611797863187286,0.290745081585085,0.511105072463768,0.4362278014819313,0.9970063405797104,1.7644698491068018,0.6541684592679865,0.08879495469048318,3.0712754267636506,0.3333333333333333,0.0,3.192102298086948,1.9803212162601247,3.4124313179901504,2.963886107403124,2.096984701567378,6.0,1.575,1.2905102350104267,2.0689024668637215,0.2059885248004543,-0.8228300190152421,1.057383221091529,4,2.25,0.957427107756338,0.25,0.1402709019216955,9.333333333333332,1.539600717839002,0.3333333333333333,0.1443375672974064,51.69251574108333,0.8346671588305289,0.06701026300869711,0.7783649999999996,0.3056458200270369,4.750000000000001,1.8841443681416772,3.4114583333333335,1.880206890581164,3.625,1.899780689097209,2.05,1.786057109949175,0.5160600338574345,0.2059885248004543,0.8370439289341778,0.0729475210735442,3,0.75,0.125,1.0,0.0,1.5,0.7071067811865476,4,0,0,3,0.6666666666666666,2,24,2.0,4,1,0.937759048158063,,0.849768235760653,0.08299133177152815,1.2543720668782783,0.6683799488910754,0.054698788449289375,2.6999999999999997,1.0708252269472671,51.3160785439418,0.8857503241200403,0.5322314081937838,1.4249783370695104,-0.0383080023743776,0.6903467242362448,0.0320234113712374,0.0099152270052341,3.4546875000000004,1.911753496738444,1.7142857142857142,1.1126972805283737,0.2580005327400437,0.0827512023051006,0.4375,0.0721687836487032,0.99700634057971,1.19754942224876,0.25,0.4291344528243135,0.0138869993858603,0.6107661012390089,0.05636443329778374,0.4,0.2285714285714286,0.4,0.36
iris_3,0.1803806251419623,0.2192313474635085,0.993985859620249,0.0080300485041008,0.2105263157894736,0.6853542031439954,0.08049487797256048,0.6962913790926809,0.4190237251550618,0.0,0.5290268477054971,0.3303265495859422,1.5810309627563697,0.4882009656351732,0.4941904266939917,0.6897709551656921,0.8180402372950131,1.3728654970760232,2.590212082777713,0.6541684592679865,0.08879495469048318,3.155822492525464,0.3333333333333333,0.0303868562731381,3.3727160573394452,2.0748061225556547,5.253489823802668,3.0918027019804057,2.203775462288206,4.75,1.8875,1.4772581584363198,2.074028263450688,0.3307183547919505,-0.85200615880076,1.2260224223138871,3,1.6666666666666667,0.5773502691896257,0.3333333333333333,0.0303868562731381,6.0,0.0,0.3333333333333333,0.0,66.8804409717368,0.8346671588305289,0.06701026300869711,1.03782,0.6052689154417236,5.125,2.5064915718988567,3.636842105263158,1.9810971898712104,3.825,2.080664957811965,2.05,1.8083141320025125,0.5009885589259303,0.3261265116281077,0.8370439289341778,0.0729475210735442,2,0.5,0.1052631578947368,1.0,0.0,1.0,0.0,4,0,0,3,0.5,2,19,2.0,4,1,0.9840490205030948,,0.849768235760653,0.08299133177152815,1.1452242514404,0.6683799488910754,0.054698788449289375,3.075,1.6580611166861936,66.68996833956086,1.0151474626079326,0.6756144129474044,1.434091826799677,-0.3032133248702696,0.1148486688165423,0.0334545855379188,0.0197581174502949,3.6692307692307695,1.9799089493539237,1.2,0.8366600265340756,0.3535533905932737,0.0,0.5,0.0,1.3728654970760232,1.6048146264583396,0.25,0.2893959225697556,0.0124095568567909,0.6107661012390089,0.05636443329778374,0.5,0.3333333333333333,1.0,1.0
iris_4,0.4029017615593091,0.34123793655078,0.9967916319816368,0.0,0.2666666666666666,0.6853542031439954,0.08049487797256048,0.7905906654421833,0.2872165483825561,0.0,0.5982142613918984,0.1025814820408807,1.584962500721156,0.6580507882832137,0.2522224377594965,0.6440079365079365,0.472699876419536,1.1846904761904755,2.0610049169212803,0.6541684592679865,0.08879495469048318,2.7633214817554843,0.3333333333333333,0.0,3.245846800249946,2.0663839449977033,3.2440715158578124,3.0148892095020483,2.184255391315623,3.75,1.7125,1.1932972527133938,2.0081826133606926,0.1198629066963297,-1.2827819224067007,0.4381415174885418,3,1.6666666666666667,0.5773502691896257,0.3333333333333333,0.0,6.0,0.0,0.3333333333333333,0.0,78.9348083929401,0.8346671588305289,0.06701026300869711,1.03782,0.4842151323533782,5.175000000000001,2.5237207980810137,3.48,1.9575116479479375,3.5500000000000003,1.8734993995195193,2.175,2.0271079563424017,0.5735715193420999,0.1198629066963297,0.8370439289341778,0.0729475210735442,2,0.5,0.1333333333333333,1.0,0.0,2.0,1.6805532522130033,4,0,0,3,0.8333333333333333,2,15,3.0,4,0,0.7378680746299611,,0.849768235760653,0.08299133177152815,1.3325605462334174,0.6683799488910754,0.054698788449289375,3.0,1.7262676501632068,78.40773231485532,0.9780573795798648,0.5514758845617149,2.1314910727557117,0.1238902662084094,0.3877250450377225,0.0222277722277722,0.0074925074925074,3.469444444444445,1.9074119021881597,1.2,0.8366600265340756,0.3535533905932737,0.0,0.5,0.0,1.1846904761904764,1.357917204597801,0.25,0.5,0.0082466304303353,0.6107661012390089,0.05636443329778374,0.6666666666666666,0.5555555555555555,1.0,1.0
iris_5,0.3539682275555529,0.2989939499374483,0.994967189162788,0.0100656216744236,0.3333333333333333,0.6853542031439954,0.08049487797256048,0.5749606517943188,0.5929983649218248,0.0,0.6440475974700667,0.1025285078880757,1.584962500721156,0.6907482805828941,0.2724243733986525,0.5478535353535355,0.4943603561868684,1.0046780303030305,1.8947860475013492,0.6541684592679865,0.08879495469048318,2.533991899998912,0.3333333333333333,0.0,3.1556486244717923,2.014255658692685,3.0502049111494136,2.9385415933171983,2.132171644530262,3.0,1.44375,1.3088441147312648,1.9544491977316856,0.1180298813446806,-1.0423898422803584,0.9528635354123962,3,1.6666666666666667,0.5773502691896257,0.3333333333333333,0.0,6.0,0.0,0.3333333333333333,0.0,86.5937446795114,0.8346671588305289,0.06701026300869711,0.88956,0.649078600016978,4.5249999999999995,1.9720970226301409,3.372916666666667,1.9018190001309956,3.5250000000000004,1.8423264278261509,2.05,1.885912687975418,0.6254804921522584,0.112707147312285,0.8370439289341778,0.0729475210735442,2,0.5,0.1666666666666666,1.0,0.0,1.0,0.0,4,0,0,3,0.6666666666666666,2,12,3.0,4,1,0.5907245735820438,,0.849768235760653,0.08299133177152815,1.0128065630234535,0.6683799488910754,0.054698788449289375,2.4749999999999996,1.3598406769422169,86.5689170620478,0.8673151064110501,0.5801638119177712,1.3234297128672443,-0.3794534481878452,0.450247294643224,0.0465367965367965,0.0397349778153372,3.40625,1.9056522286783248,1.2,0.8366600265340756,0.3535533905932737,0.0,0.5,0.0,1.0046780303030305,1.254989897081895,0.25,0.2886751345948128,0.0111429248255362,0.6107661012390089,0.05636443329778374,0.6666666666666666,0.5555555555555555,1.0,1.0
